CSV CAN data
Converted from Kvaser Memorator at,2023-10-14 13:05:08
                                                        
Format of data field,HEX
Format of id field,DEC
Timestamp Offset,             0.00000,seconds
Logging started at,2023-07-11 18:02:45
Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.27874,2,1993,2,8,00,00,00,00,00,00,00,00,70,2023-07-11 18:02:45
0.27887,2,1994,2,8,00,00,00,00,00,00,00,00,71,2023-07-11 18:02:45
0.27900,2,1995,2,8,00,00,00,00,00,00,00,00,72,2023-07-11 18:02:45
0.27912,2,1996,2,8,00,00,00,00,00,00,00,00,73,2023-07-11 18:02:45
0.27925,2,1997,2,8,00,00,00,00,00,00,00,00,74,2023-07-11 18:02:45
0.27937,2,257,2,8,00,00,00,00,00,00,00,00,75,2023-07-11 18:02:45
0.29351,2,128,2,0,,,,,,,,,76,2023-07-11 18:02:45
0.29356,1,1538,2,8,25,01,10,00,00,00,00,00,77,2023-07-11 18:02:45
0.29361,1,128,2,0,,,,,,,,,78,2023-07-11 18:02:45
0.29363,2,32,2,8,01,01,20,00,00,00,1f,1e,79,2023-07-11 18:02:45
0.29371,2,1711,2,4,00,00,00,00,,,,,80,2023-07-11 18:02:45
0.29373,1,32,2,8,01,01,20,00,00,00,1f,1e,81,2023-07-11 18:02:45
0.29382,2,1682,2,6,00,9f,0a,96,0d,75,,,82,2023-07-11 18:02:45
0.29385,1,1537,2,8,25,01,10,00,00,00,18,01,83,2023-07-11 18:02:45
0.29393,2,1713,2,7,00,00,00,00,00,00,00,,84,2023-07-11 18:02:45
0.29396,1,1664,2,6,a6,2f,01,a8,00,a1,,,85,2023-07-11 18:02:45
0.29406,1,1684,2,6,01,83,00,00,00,00,,,86,2023-07-11 18:02:45
0.29415,1,1712,2,4,00,00,00,00,,,,,87,2023-07-11 18:02:45
0.29423,1,1714,2,4,00,00,00,00,,,,,88,2023-07-11 18:02:45
0.29446,2,1538,2,5,23,02,03,33,33,,,,89,2023-07-11 18:02:45
0.29598,1,1313,2,6,00,07,ff,ff,ff,fb,,,90,2023-07-11 18:02:45
0.29609,1,1314,2,6,01,0d,00,00,88,b8,,,91,2023-07-11 18:02:45
0.29609,1,1314,2,6,01,0d,00,00,88,b8,,,91,2023-07-11 18:02:45
0.29609,1,1314,2,6,01,0d,00,00,88,b8,,,91,2023-07-11 18:02:45
0.29609,1,1314,2,6,01,0d,00,00,88,b8,,,91,2023-07-11 18:02:45
0.29609,1,1314,2,6,01,0d,00,00,88,b8,,,91,2023-07-11 18:02:45
0.29609,1,1314,2,6,01,0d,00,00,88,b8,,,91,2023-07-11 18:02:45
0.29621,1,1315,2,6,02,0d,00,00,00,0d,,,92,2023-07-11 18:02:45
0.29633,1,1316,2,6,03,0d,00,00,00,0f,,,93,2023-07-11 18:02:45
0.29849,2,1990,2,8,00,00,ff,ff,00,00,00,00,94,2023-07-11 18:02:45
0.29858,1,257,2,8,00,00,00,00,00,00,00,00,95,2023-07-11 18:02:45
0.29862,2,1991,2,8,00,00,00,00,00,00,00,00,96,2023-07-11 18:02:45
0.29874,2,1993,2,8,00,00,00,00,00,00,00,00,97,2023-07-11 18:02:45
0.29887,2,1994,2,8,00,00,00,00,00,00,00,00,98,2023-07-11 18:02:45
0.29899,2,1995,2,8,89,37,00,00,00,00,00,00,99,2023-07-11 18:02:45
0.29912,2,1996,2,8,00,00,00,00,00,00,00,00,100,2023-07-11 18:02:45
0.29924,2,1997,2,8,00,00,00,00,00,00,00,00,101,2023-07-11 18:02:45
0.29937,2,257,2,8,00,00,00,00,00,00,00,00,102,2023-07-11 18:02:45
0.31350,2,128,2,0,,,,,,,,,103,2023-07-11 18:02:45
0.31356,1,1538,2,8,25,01,10,00,00,00,00,00,104,2023-07-11 18:02:45
0.31361,1,128,2,0,,,,,,,,,105,2023-07-11 18:02:45
0.31363,2,32,2,8,01,01,20,00,00,00,1f,1e,106,2023-07-11 18:02:45
0.31371,2,1711,2,4,00,00,00,00,,,,,107,2023-07-11 18:02:45
0.31373,1,32,2,8,01,01,20,00,00,00,1f,1e,108,2023-07-11 18:02:45
0.31382,2,1682,2,6,00,9f,0a,96,0d,75,,,109,2023-07-11 18:02:45
0.31385,1,1537,2,8,25,01,10,00,00,00,19,01,110,2023-07-11 18:02:45
0.31393,2,1713,2,7,00,00,00,00,00,00,00,,111,2023-07-11 18:02:45
0.31395,1,1664,2,6,a6,2f,01,a8,00,a2,,,112,2023-07-11 18:02:45
0.31406,1,1684,2,6,01,83,00,00,00,00,,,113,2023-07-11 18:02:45
0.31415,1,1712,2,4,00,00,00,00,,,,,114,2023-07-11 18:02:45
0.31423,1,1714,2,4,00,00,00,00,,,,,115,2023-07-11 18:02:45
0.31446,2,1538,2,5,23,02,03,33,33,,,,116,2023-07-11 18:02:45
0.31599,1,1313,2,6,00,08,00,00,00,00,,,117,2023-07-11 18:02:45
0.31612,1,1320,2,6,07,08,00,00,00,00,,,118,2023-07-11 18:02:45
0.31849,2,1990,2,8,00,00,ff,ff,00,00,00,00,119,2023-07-11 18:02:45
0.31858,1,257,2,8,00,00,00,00,00,00,00,00,120,2023-07-11 18:02:45
0.31862,2,1991,2,8,00,00,00,00,00,00,00,00,121,2023-07-11 18:02:45
0.31875,2,1993,2,8,00,00,00,00,00,00,00,00,122,2023-07-11 18:02:45
0.31887,2,1994,2,8,00,00,00,00,00,00,00,00,123,2023-07-11 18:02:45
0.31900,2,1995,2,8,00,00,00,00,00,00,00,00,124,2023-07-11 18:02:45
0.31912,2,1996,2,8,00,00,00,00,00,00,00,00,125,2023-07-11 18:02:45
0.31925,2,257,2,8,00,00,00,00,00,00,00,00,126,2023-07-11 18:02:45
0.31937,2,257,2,8,00,00,00,00,00,00,00,00,127,2023-07-11 18:02:45
0.33350,2,128,2,0,,,,,,,,,128,2023-07-11 18:02:45
0.33356,1,1538,2,8,25,01,10,00,00,00,00,00,129,2023-07-11 18:02:45
0.33361,1,128,2,0,,,,,,,,,130,2023-07-11 18:02:45
0.33363,2,32,2,8,01,01,20,00,00,00,1f,1e,131,2023-07-11 18:02:45
0.33371,2,1711,2,4,00,00,00,00,,,,,132,2023-07-11 18:02:45
0.33373,1,32,2,8,01,01,20,00,00,00,1f,1e,133,2023-07-11 18:02:45
0.33381,2,1682,2,6,00,9e,0a,96,0d,75,,,134,2023-07-11 18:02:45
0.33386,1,1537,2,8,25,01,10,00,00,00,1a,01,135,2023-07-11 18:02:45
0.33393,2,1713,2,7,00,00,00,00,00,00,00,,136,2023-07-11 18:02:45
0.33396,1,1664,2,6,a6,2f,01,a8,00,a2,,,137,2023-07-11 18:02:45
0.33406,1,1684,2,6,01,84,00,00,00,00,,,138,2023-07-11 18:02:45
0.33415,1,1712,2,4,00,00,00,00,,,,,139,2023-07-11 18:02:45
0.33423,1,1714,2,4,00,00,00,00,,,,,140,2023-07-11 18:02:45
0.33446,2,1538,2,5,23,02,03,33,33,,,,141,2023-07-11 18:02:45
0.33571,1,1313,2,6,00,09,00,00,00,00,,,142,2023-07-11 18:02:45
0.33849,2,1990,2,8,00,00,ff,ff,00,00,00,00,143,2023-07-11 18:02:45
0.33858,1,257,2,8,00,00,00,00,00,00,00,00,144,2023-07-11 18:02:45
0.33862,2,1991,2,8,00,00,00,00,00,00,00,00,145,2023-07-11 18:02:45
0.33874,2,1993,2,8,00,00,00,00,00,00,00,00,146,2023-07-11 18:02:45
0.33887,2,1994,2,8,00,00,00,00,00,00,00,00,147,2023-07-11 18:02:45
0.33900,2,1995,2,8,00,00,00,00,00,00,00,00,148,2023-07-11 18:02:45
0.33912,2,1996,2,8,00,00,00,00,00,00,00,00,149,2023-07-11 18:02:45
0.33925,2,1997,2,8,00,00,00,00,00,00,00,00,150,2023-07-11 18:02:45
0.33937,2,257,2,8,00,00,00,00,00,00,00,00,151,2023-07-11 18:02:45
0.35351,2,128,2,0,,,,,,,,,152,2023-07-11 18:02:45
0.35356,1,1538,2,8,25,01,10,00,00,00,00,00,153,2023-07-11 18:02:45
0.35361,1,128,2,0,,,,,,,,,154,2023-07-11 18:02:45
0.35363,2,32,2,8,01,01,20,00,00,00,1f,1e,155,2023-07-11 18:02:45
0.35372,2,1711,2,4,00,00,00,00,,,,,156,2023-07-11 18:02:45
0.35373,1,32,2,8,01,01,20,00,00,00,1f,1e,157,2023-07-11 18:02:45
0.35382,2,1682,2,6,00,9e,0a,96,0d,75,,,158,2023-07-11 18:02:45
0.35386,1,1537,2,8,25,01,10,00,00,00,1b,01,159,2023-07-11 18:02:45
0.35393,2,1713,2,7,00,00,00,00,00,00,00,,160,2023-07-11 18:02:45
0.35396,1,1664,2,6,a6,2f,01,a8,00,a1,,,161,2023-07-11 18:02:45
0.35406,1,1684,2,6,01,84,00,00,00,00,,,162,2023-07-11 18:02:45
0.35415,1,1712,2,4,00,00,00,00,,,,,163,2023-07-11 18:02:45
0.35423,1,1714,2,4,00,00,00,00,,,,,164,2023-07-11 18:02:45
0.35446,2,1538,2,5,23,02,03,33,33,,,,165,2023-07-11 18:02:45
0.35612,1,1313,2,6,00,0a,ff,ff,ff,fe,,,166,2023-07-11 18:02:45
0.35624,1,1314,2,6,01,0e,00,00,00,23,,,167,2023-07-11 18:02:45
0.35636,1,1315,2,6,02,0e,00,00,00,05,,,168,2023-07-11 18:02:45
0.35648,1,1316,2,6,03,0e,00,00,00,03,,,169,2023-07-11 18:02:45
0.35849,2,1990,2,8,00,00,ff,ff,00,00,00,00,170,2023-07-11 18:02:45
0.35858,1,257,2,8,00,00,00,00,00,00,00,00,171,2023-07-11 18:02:45
0.35862,2,1991,2,8,00,00,00,00,00,00,00,00,172,2023-07-11 18:02:45
0.35875,2,1993,2,8,00,00,00,00,00,00,00,00,173,2023-07-11 18:02:45
0.35887,2,1994,2,8,00,00,00,00,00,00,00,00,174,2023-07-11 18:02:45
0.35899,2,1995,2,8,89,37,00,00,00,00,00,00,175,2023-07-11 18:02:45
0.35912,2,1996,2,8,00,00,00,00,00,00,00,00,176,2023-07-11 18:02:45
0.35924,2,1997,2,8,00,00,00,00,00,00,00,00,177,2023-07-11 18:02:45
0.35937,2,257,2,8,00,00,00,00,00,00,00,00,178,2023-07-11 18:02:45
0.37351,2,128,2,0,,,,,,,,,179,2023-07-11 18:02:45
0.37356,1,1538,2,8,25,01,10,00,00,00,00,00,180,2023-07-11 18:02:45
0.37361,1,128,2,0,,,,,,,,,181,2023-07-11 18:02:45
0.37363,2,32,2,8,01,01,20,00,00,00,1f,1e,182,2023-07-11 18:02:45
0.37372,2,1711,2,4,00,00,00,00,,,,,183,2023-07-11 18:02:45
0.37373,1,32,2,8,01,01,20,00,00,00,1f,1e,184,2023-07-11 18:02:45
0.37382,2,1682,2,6,00,9e,0a,96,0d,75,,,185,2023-07-11 18:02:45
0.37386,1,1537,2,8,25,01,10,00,00,00,1c,01,186,2023-07-11 18:02:45
0.37393,2,1713,2,7,00,00,00,00,00,00,00,,187,2023-07-11 18:02:45
0.37396,1,1664,2,6,a6,2f,01,a8,00,a2,,,188,2023-07-11 18:02:45
0.37406,1,1684,2,6,01,83,00,00,00,00,,,189,2023-07-11 18:02:45
0.37415,1,1712,2,4,00,00,00,00,,,,,190,2023-07-11 18:02:45
0.37424,1,1714,2,4,00,00,00,00,,,,,191,2023-07-11 18:02:45
0.37446,2,1538,2,5,23,02,03,33,33,,,,192,2023-07-11 18:02:45
0.37581,1,1313,2,6,00,0b,00,00,00,03,,,193,2023-07-11 18:02:45
0.37850,2,1990,2,8,00,00,ff,ff,00,00,00,00,194,2023-07-11 18:02:45
0.37858,1,257,2,8,00,00,00,00,00,00,00,00,195,2023-07-11 18:02:45
0.37862,2,1991,2,8,00,00,00,00,00,00,00,00,196,2023-07-11 18:02:45
0.37875,2,1993,2,8,00,00,00,00,00,00,00,00,197,2023-07-11 18:02:45
0.37887,2,1994,2,8,00,00,00,00,00,00,00,00,198,2023-07-11 18:02:45
0.37900,2,1995,2,8,00,00,00,00,00,00,00,00,199,2023-07-11 18:02:45
0.37912,2,1996,2,8,00,00,00,00,00,00,00,00,200,2023-07-11 18:02:45
0.37925,2,1997,2,8,00,00,00,00,00,00,00,00,201,2023-07-11 18:02:45
0.37937,2,257,2,8,00,00,00,00,00,00,00,00,202,2023-07-11 18:02:45
0.39351,2,128,2,0,,,,,,,,,203,2023-07-11 18:02:45
0.39356,1,1538,2,8,25,01,10,00,00,00,00,00,204,2023-07-11 18:02:45
0.39361,1,128,2,0,,,,,,,,,205,2023-07-11 18:02:45
0.39363,2,32,2,8,01,01,20,00,00,00,1f,1e,206,2023-07-11 18:02:45
0.39373,2,1682,2,6,00,9e,0a,96,0d,75,,,207,2023-07-11 18:02:45
0.39373,1,32,2,8,01,01,20,00,00,00,1f,1e,208,2023-07-11 18:02:45
0.39382,2,1711,2,4,00,00,00,00,,,,,209,2023-07-11 18:02:45
0.39386,1,1537,2,8,25,01,10,00,00,00,1d,01,210,2023-07-11 18:02:45
0.39393,2,1713,2,7,00,00,00,00,00,00,00,,211,2023-07-11 18:02:45
0.39396,1,1664,2,6,a6,2f,01,a8,00,a1,,,212,2023-07-11 18:02:45
0.39406,1,1684,2,6,01,83,00,00,00,00,,,213,2023-07-11 18:02:45
0.39415,1,1712,2,4,00,00,00,00,,,,,214,2023-07-11 18:02:45
0.39424,1,1714,2,4,00,00,00,00,,,,,215,2023-07-11 18:02:45
0.39446,2,1538,2,5,23,02,03,33,33,,,,216,2023-07-11 18:02:45
0.39586,1,1313,2,6,00,0c,ff,ff,ff,fc,,,217,2023-07-11 18:02:45
0.39850,2,1990,2,8,00,00,ff,ff,00,00,00,00,218,2023-07-11 18:02:45
0.39858,1,257,2,8,00,00,00,00,00,00,00,00,219,2023-07-11 18:02:45
0.39862,2,1991,2,8,00,00,00,00,00,00,00,00,220,2023-07-11 18:02:45
0.39875,2,1993,2,8,00,00,00,00,00,00,00,00,221,2023-07-11 18:02:45
0.39887,2,1994,2,8,00,00,00,00,00,00,00,00,222,2023-07-11 18:02:45
0.39899,2,1995,2,8,89,37,00,00,00,00,00,00,223,2023-07-11 18:02:45
0.39912,2,1996,2,8,00,00,00,00,00,00,00,00,224,2023-07-11 18:02:45
0.39924,2,1997,2,8,00,00,00,00,00,00,00,00,225,2023-07-11 18:02:45
0.39937,2,257,2,8,00,00,00,00,00,00,00,00,226,2023-07-11 18:02:45
0.41351,2,128,2,0,,,,,,,,,227,2023-07-11 18:02:45
0.41356,1,1538,2,8,25,01,10,00,00,00,00,00,228,2023-07-11 18:02:45
0.41361,1,128,2,0,,,,,,,,,229,2023-07-11 18:02:45
0.41363,2,32,2,8,01,01,20,00,00,00,1f,1e,230,2023-07-11 18:02:45
0.41373,2,1682,2,6,00,9f,0a,96,0d,75,,,231,2023-07-11 18:02:45
0.41373,1,32,2,8,01,01,20,00,00,00,1f,1e,232,2023-07-11 18:02:45
0.41382,2,1711,2,4,00,00,00,00,,,,,233,2023-07-11 18:02:45
0.41386,1,1537,2,8,25,01,10,00,00,00,1e,01,234,2023-07-11 18:02:45
0.41393,2,1713,2,7,00,00,00,00,00,00,00,,235,2023-07-11 18:02:45
0.41396,1,1664,2,6,a6,2f,01,a8,00,a2,,,236,2023-07-11 18:02:45
0.41406,1,1684,2,6,01,84,00,00,00,00,,,237,2023-07-11 18:02:45
0.41415,1,1712,2,4,00,00,00,00,,,,,238,2023-07-11 18:02:45
0.41423,1,1714,2,4,00,00,00,00,,,,,239,2023-07-11 18:02:45
0.41446,2,1538,2,5,23,02,03,33,33,,,,240,2023-07-11 18:02:45
0.41641,1,1313,2,6,00,0d,00,00,00,01,,,241,2023-07-11 18:02:45
0.41653,1,1314,2,6,01,0f,00,00,00,3a,,,242,2023-07-11 18:02:45
0.41665,1,1315,2,6,02,0f,ff,ff,ff,ff,,,243,2023-07-11 18:02:45
0.41677,1,1316,2,6,03,0f,00,00,00,0d,,,244,2023-07-11 18:02:45
0.41689,1,1320,2,6,07,09,00,00,00,00,,,245,2023-07-11 18:02:45
0.41850,2,1990,2,8,00,00,ff,ff,00,00,00,00,246,2023-07-11 18:02:45
0.41858,1,257,2,8,00,00,00,00,00,00,00,00,247,2023-07-11 18:02:45
0.41862,2,1991,2,8,00,00,00,00,00,00,00,00,248,2023-07-11 18:02:45
0.41875,2,1993,2,8,00,00,00,00,00,00,00,00,249,2023-07-11 18:02:45
0.41887,2,257,2,8,00,00,00,00,00,00,00,00,250,2023-07-11 18:02:45
0.41900,2,1995,2,8,00,00,00,00,00,00,00,00,251,2023-07-11 18:02:45
0.41913,2,1996,2,8,00,00,00,00,00,00,00,00,252,2023-07-11 18:02:45
0.41925,2,1997,2,8,00,00,00,00,00,00,00,00,253,2023-07-11 18:02:45
0.41938,2,257,2,8,00,00,00,00,00,00,00,00,254,2023-07-11 18:02:45
0.43351,2,128,2,0,,,,,,,,,255,2023-07-11 18:02:45
0.43356,1,1538,2,8,25,01,10,00,00,00,00,00,256,2023-07-11 18:02:45
0.43361,1,128,2,0,,,,,,,,,257,2023-07-11 18:02:45
0.43363,2,32,2,8,01,01,20,00,00,00,1f,1e,258,2023-07-11 18:02:45
0.43372,2,1711,2,4,00,00,00,00,,,,,259,2023-07-11 18:02:45
0.43373,1,32,2,8,01,01,20,00,00,00,1f,1e,260,2023-07-11 18:02:45
0.43382,2,1682,2,6,00,9e,0a,96,0d,75,,,261,2023-07-11 18:02:45
0.43386,1,1537,2,8,25,01,10,00,00,00,1f,01,262,2023-07-11 18:02:45
0.43393,2,1713,2,7,00,00,00,00,00,00,00,,263,2023-07-11 18:02:45
0.43396,1,1664,2,6,a6,2f,01,a8,00,a2,,,264,2023-07-11 18:02:45
0.43406,1,1684,2,6,01,83,00,00,00,00,,,265,2023-07-11 18:02:45
0.43415,1,1712,2,4,00,00,00,00,,,,,266,2023-07-11 18:02:45
0.43424,1,1714,2,4,00,00,00,00,,,,,267,2023-07-11 18:02:45
0.43446,2,1538,2,5,23,02,03,33,33,,,,268,2023-07-11 18:02:45
0.43587,1,1313,2,6,00,0e,ff,ff,ff,ff,,,269,2023-07-11 18:02:45
0.43607,1,151,2,8,64,dc,0e,00,21,02,64,41,270,2023-07-11 18:02:45
0.43850,2,1990,2,8,00,00,ff,ff,00,00,00,00,271,2023-07-11 18:02:45
0.43858,1,257,2,8,00,00,00,00,00,00,00,00,272,2023-07-11 18:02:45
0.43862,2,1991,2,8,00,00,00,00,00,00,00,00,273,2023-07-11 18:02:45
0.43875,2,1993,2,8,00,00,00,00,00,00,00,00,274,2023-07-11 18:02:45
0.43887,2,1994,2,8,00,00,00,00,00,00,00,00,275,2023-07-11 18:02:45
0.43899,2,1995,2,8,89,37,00,00,00,00,02,21,276,2023-07-11 18:02:45
0.43912,2,1996,2,8,00,00,00,00,00,00,00,00,277,2023-07-11 18:02:45
0.43924,2,1997,2,8,00,00,00,00,00,00,00,00,278,2023-07-11 18:02:45
0.43937,2,257,2,8,00,00,00,00,00,00,00,00,279,2023-07-11 18:02:45
0.45351,2,128,2,0,,,,,,,,,280,2023-07-11 18:02:45
0.45356,1,1538,2,8,25,01,10,00,00,00,00,00,281,2023-07-11 18:02:45
0.45361,1,128,2,0,,,,,,,,,282,2023-07-11 18:02:45
0.45363,2,32,2,8,01,01,00,00,00,00,1f,1e,283,2023-07-11 18:02:45
0.45372,2,1711,2,4,00,00,00,00,,,,,284,2023-07-11 18:02:45
0.45374,1,32,2,8,01,01,00,00,00,00,1f,1e,285,2023-07-11 18:02:45
0.45382,2,1682,2,6,00,9e,0a,96,0d,74,,,286,2023-07-11 18:02:45
0.45386,1,1537,2,8,25,01,10,00,00,00,20,01,287,2023-07-11 18:02:45
0.45393,2,1713,2,7,00,00,00,00,00,00,00,,288,2023-07-11 18:02:45
0.45396,1,1664,2,6,a6,2f,01,a8,00,a2,,,289,2023-07-11 18:02:45
